key,variant,target_value
meal.type.lunch,,Bữa trưa
meal.type.snack,,Bữa phụ
meal.typeMealPlaceholder,,Nhập tên bữa ăn
meal.yourMeal,,Bữa ăn của bạn
mealReview.generate,,Tạo đánh giá
mealReview.generateInsight,,Tạo phân tích
mealReview.generating,,"Đang xem lại các bữa ăn hôm nay và
 tạo phân tích cho bạn..."
mealReview.notReadyDescription,,Đánh giá bữa ăn của bạn chưa sẵn sàng. Chúng tôi đang phân tích dinh dưỡng và sự cân bằng của bữa ăn để đưa ra phản hồi chính xác.
mealReview.shortReview,,Đánh giá ngắn
mealReview.title,,Đánh giá bữa ăn
nutrition.bmi.current,,BMI của bạn: %@
nutrition.bmi.explanation,,"Chỉ số khối cơ thể (BMI) là phép đo chuẩn về mỡ cơ thể dựa trên chiều cao và cân nặng, được tính theo hướng dẫn của WHO."
nutrition.bmi.healthyWeight,,Cân nặng khỏe mạnh
nutrition.bmi.obese,,Béo phì
nutrition.bmi.overweight,,Thừa cân
nutrition.bmi.target,,BMI mục tiêu: %@
nutrition.bmi.underweight,,Thiếu cân
nutrition.bmi.whoGuideline,,Dựa trên hướng dẫn BMI của WHO
nutrition.calculatingCalories,,Đang ước tính calo
nutrition.calories,,Calo
nutrition.caloriesEstimated,,Calo ước tính
nutrition.caloriesPerServing,,Calo mỗi khẩu phần
nutrition.carbs,,Tinh bột
nutrition.eatenTitle,,Đã nạp
nutrition.fat,,Chất béo
nutrition.goal,,Mục tiêu:
nutrition.goalCalories,,Mục tiêu: %@kcal
nutrition.goalWeight,,Cân nặng mục tiêu: %@
nutrition.plan,,Kế hoạch
nutrition.protein,,Đạm
nutrition.remaining,,Còn lại
nutrition.targetGoal,,Mục tiêu:
nutrition.title,,Dinh dưỡng
nutrition.toReachGoal,,Để đạt mục tiêu
nutrition.trackerTitle,,Theo dõi Calo
nutrition.vsMacroTarget,,So với mục tiêu vĩ mô
onboarding.activity.high,,Hoạt động cao
onboarding.activity.highDescription,,Hoạt động thể chất cường độ cao hàng ngày hoặc tập thể dục thường xuyên
onboarding.activity.light,,Hoạt động nhẹ
onboarding.activity.lightDescription,,Vận động nhẹ hàng ngày hoặc thỉnh thoảng tập thể dục
onboarding.activity.low,,Hoạt động thấp
onboarding.activity.lowDescription,,"Chủ yếu ngồi, ít vận động hàng ngày"
onboarding.activity.moderate,,Hoạt động vừa phải
onboarding.activity.moderateDescription,,Vận động thường xuyên hoặc tập thể dục vài lần một tuần
onboarding.activityLevelTitle,,Mức độ hoạt động của bạn?
onboarding.birthYear,,Năm sinh của bạn
onboarding.bmiAdvice.highRisk,,Mục tiêu này khiến bạn nằm trong vùng rủi ro cao. Chúng tôi khuyên bạn nên đặt mục tiêu thấp hơn một chút vì sức khỏe.
onboarding.bmiAdvice.low,,Mức này hơi thấp. Hướng tới cân nặng cao hơn một chút sẽ giúp tăng cường năng lượng hàng ngày của bạn.
onboarding.bmiAdvice.perfect,,Hoàn hảo! Một mục tiêu rất thực tế và bền vững cho cơ thể bạn.
onboarding.bmiAdvice.severeRiskHigh,,Cảnh báo: Mục tiêu này gây ra rủi ro sức khỏe nghiêm trọng. Chúng tôi khuyên bạn nên đặt mục tiêu thấp hơn một chút vì sức khỏe.
onboarding.bmiAdvice.severeRiskLow,,Cảnh báo: Mục tiêu này cực kỳ thấp. Vui lòng cân nhắc cân nặng an toàn hơn hoặc tham khảo ý kiến bác sĩ.
onboarding.bmiAdvice.slightlyHigh,,Hơi cao hơn vùng khỏe mạnh. Đây là điểm bắt đầu có thể quản lý được để phấn đấu sau.
onboarding.currentWeight,,Cân nặng hiện tại của bạn?
onboarding.getStarted,,BẮT ĐẦU
onboarding.goal.gainWeight,,Tăng cân
onboarding.goal.loseWeight,,Giảm cân
onboarding.goal.maintainWeight,,Duy trì cân nặng
onboarding.goalSummary.gain,,Tăng %1$@ từ %2$@
onboarding.goalSummary.lose,,Giảm %1$@ từ %2$@
onboarding.goalSummary.maintain,,Duy trì cân nặng ở mức %@
onboarding.goalSummary.reach,,Đạt %@
onboarding.goalTitle,,Mục tiêu của bạn là gì?
onboarding.height,,Chiều cao của bạn?
onboarding.loading.analyzingGoals,,Đang phân tích mục tiêu
onboarding.loading.buildingMacroPlan,,Đang xây dựng kế hoạch dinh dưỡng vĩ mô
onboarding.loading.calculatingCalories,,Đang tính toán calo hàng ngày
onboarding.loading.calculatingMacros,,Đang tính toán phân bổ vĩ mô
onboarding.loading.creatingPlan,,Đang tạo kế hoạch cá nhân hóa của bạn...
onboarding.loading.personalizingRecommendations,,Đang cá nhân hóa đề xuất
onboarding.personalSummary,,Tóm tắt cá nhân
onboarding.plan.defaultRecommendation,,"Tập trung vào các bữa ăn cân bằng với đạm, tinh bột và chất béo tốt để duy trì lộ trình."
onboarding.planReady,,Kế hoạch cá nhân của bạn đã sẵn sàng!
onboarding.slogan.achieveMore,,Đạt được nhiều hơn.
onboarding.slogan.scanSmarter,,Quét thông minh hơn. Đạt mục tiêu nhanh hơn.
onboarding.slogan.trackLess,,Theo dõi ít hơn. 
onboarding.startPlan,,Bắt đầu kế hoạch
onboarding.subtitle,,"Theo dõi bữa ăn, xây dựng thói quen lành mạnh hơn và đạt mục tiêu cùng AI."
onboarding.targetWeight,,Cân nặng mục tiêu của bạn?
onboarding.tellUsAboutYou,,Hãy chia sẻ về bạn
onboarding.title,,Theo dõi Calo
permission.camera.title,,Quyền truy cập Camera
profile.currentWeight,,Hiện tại: %@kg
profile.gender,,Giới tính
profile.gender.female,,Nữ
profile.gender.male,,Nam
profile.gender.nonBinary,,Phi nhị giới
profile.gender.other,,Khác
profile.minWeight,,Cân nặng tối thiểu
recipe.aiChef,,Đầu bếp AI
recipe.cookingTime,,Thời gian nấu
recipe.cookSubtitle,,Nấu ăn theo cách của bạn để đạt mục tiêu!
recipe.delete.description,,Bạn sẽ không thể khôi phục công thức này.
recipe.delete.title,,Xóa công thức?
recipe.description,,Biến các nguyên liệu có sẵn thành các bữa ăn cá nhân hóa phù hợp với mục tiêu calo của bạn.
recipe.detailTitle,,Chi tiết công thức
recipe.energyValue,,Giá trị năng lượng
recipe.error.loadFailed,,Không thể tải công thức này. Vui lòng thử lại.
recipe.favorites.emptyDescription,,Có vẻ như bạn chưa thêm nội dung nào vào danh sách yêu thích.
recipe.favorites.emptyTitle,,Chưa có mục yêu thích
recipe.favorites.title,,Yêu thích
recipe.generate,,Tạo công thức
recipe.generating.gatheringIngredients,,Đang tổng hợp các nguyên liệu...
recipe.ingredients,,Nguyên liệu
recipe.ingredientsEmpty,,Chưa thêm nguyên liệu nào
recipe.instructions,,Cách chế biến
recipe.logAndSave,,Ghi nhận & Lưu
recipe.mealType,,Loại bữa ăn
recipe.moreIdeas,,Thêm gợi ý với nguyên liệu của bạn
recipe.searchPlaceholder,,Tìm kiếm công thức
recipe.serving,,Khẩu phần
recipe.stepNumber,,Bước %lld
recipe.tabTitle,,Công thức
recipe.title,,Công thức
recipe.typeIngredientPlaceholder,,Nhập nguyên liệu...
Select size,,Chọn kích thước
settings.appleHealth,,Apple Health
settings.glassSize,,Dung tích ly
settings.glassSizeDescription,,Dung tích ly tiêu chuẩn để tính lượng nước uống.
settings.language,,Ngôn ngữ
settings.privacyPolicy,,Chính sách bảo mật
settings.rateUs,,Đánh giá chúng tôi
settings.recalculatePlan,,Tính toán lại kế hoạch
settings.sectionOther,,Khác
settings.sectionPlan,,Kế hoạch
settings.sectionSystem,,Hệ thống
settings.shareApp,,Chia sẻ ứng dụng
settings.system,,Hệ thống
settings.title,,Cài đặt
settings.unit.imperial,,lbs/ft
settings.unit.metric,,kg/cm
settings.unitOfMeasurement,,Đơn vị đo
settings.writeFeedback,,Gửi phản hồi
statistics.caloriesEaten,,Calo đã nạp
statistics.caloriesGoal,,Mục tiêu: %@ kcal
statistics.noData,,Không có dữ liệu
statistics.period.day,,Ngày
statistics.period.oneMonth,,1 tháng
statistics.period.oneYear,,1 năm
statistics.period.sevenDays,,7 ngày
statistics.period.sixMonths,,6 tháng
statistics.title,,Thống kê
statistics.weightCurrent,,Hiện tại: %@ kg
subscription.adUnlockPrompt,,"Xem một quảng cáo ngắn để mở khóa miễn phí, hoặc đăng ký Premium để sử dụng không giới hạn."
subscription.getPremium,,Nâng cấp Premium
subscription.lifetime,,Vĩnh viễn
subscription.monthly,,Hàng tháng
subscription.paywall.autoRenewCancelAnytime,,Tự động gia hạn. Hủy bất kỳ lúc nào.
subscription.paywall.bestOffer,,Ưu đãi tốt nhất
subscription.paywall.popular,,Phổ biến
subscription.paywall.pricePerPeriod,,Chỉ %1$@/%2$@
subscription.paywall.pricePerWeek,,Chỉ %@/tuần
subscription.paywall.savePercent,,Tiết kiệm %@%%
subscription.paywall.termAutoRenew,,• Gói đăng ký của bạn sẽ tự động gia hạn trừ khi tính năng tự động gia hạn được tắt ít nhất 24 giờ trước khi kết thúc chu kỳ hiện tại.
subscription.paywall.termCharge,,"• Sau khi bạn xác nhận mua hàng, khoản thanh toán sẽ được tính vào Tài khoản iTunes của bạn."
subscription.paywall.termManage,,• Bạn có thể quản lý gói đăng ký và tắt tính năng tự động gia hạn bằng cách đi tới Cài đặt tài khoản sau khi mua.
subscription.paywall.termPriceWeeklyYearly,,• Giá của gói đăng ký hàng tuần là %1$@ và gói hàng năm là %2$@ (%3$@ mỗi tuần).
subscription.paywall.termPriceWeeklyYearlyMonthly,,"• Giá của gói đăng ký hàng tuần là %1$@, gói hàng năm là %2$@ (%3$@ mỗi tuần) và gói hàng tháng là %4$@."
subscription.paywall.termRenewal,,• Tài khoản của bạn sẽ bị tính phí gia hạn trong vòng 24 giờ trước khi kết thúc chu kỳ hiện tại.
subscription.period.lifeTime,,vĩnh viễn
subscription.period.month,,tháng
subscription.period.week,,tuần
subscription.period.year,,năm
subscription.perWeek,,Mỗi tuần
subscription.privacyPolicy,,Chính sách bảo mật
subscription.restorePurchase,,Khôi phục
subscription.terms,,Điều khoản đăng ký
subscription.termsOfUse,,Điều khoản sử dụng
subscription.unlockFeature,,Mở khóa tính năng này
subscription.watchAd,,Xem quảng cáo
subscription.weekly,,Hàng tuần
subscription.yearly,,Hàng năm
tab.add,,Thêm
tab.recipe,,Công thức
tab.tracking,,Theo dõi
toast.activity.logFailed,,Không thể ghi nhận hoạt động
toast.activity.logSuccess,,Đã ghi nhận hoạt động thành công
toast.aiChef.ingredientNotFound,,Không tìm thấy các nguyên liệu này.
toast.aiChef.recipeGenerateFailed,,Không thể tạo công thức. Vui lòng thử lại.
toast.common.networkError,,Lỗi kết nối mạng. Vui lòng thử lại.
toast.common.somethingWrongPleaseTryAgain,,Có lỗi xảy ra. Vui lòng thử lại.
toast.favourite.updateFailed,,Không thể cập nhật danh sách yêu thích
toast.meal.logFailed,,Không thể ghi nhận bữa ăn
toast.meal.logSuccess,,Đã ghi nhận bữa ăn thành công
toast.tracking.logSuccessNamed,,Đã ghi nhận thành công %1$@
toast.water.logFailed,,Không thể ghi nhận lượng nước
toast.water.logSuccess,,Đã ghi nhận lượng nước thành công
toast.weight.logFailed,,Không thể ghi nhận cân nặng
toast.weight.logSuccess,,Đã ghi nhận cân nặng thành công
water.glassCount,,Số ly nước
water.glassCount,plural.one,%lld ly
water.glassCount,plural.other,%lld ly
water.glassSize,,Dung tích ly
water.glassSizeDescription,,Cài đặt dung tích nước mỗi ly khi ghi nhận
water.intake,,Lượng nước uống
water.log,,Ghi nhận uống nước
water.title,,Nước
weight.goalWeight,,Cân nặng mục tiêu: %@
weight.log,,Ghi nhận cân nặng
weight.title,,Cân nặng
